ID,NAME
2236,5e7g_1_A
14638,1p3r_1_A
5984,4ehm_1_B
6828,3h6s_1_B
3510,2pig_1_A
13598,3v6i_1_B
6311,5ac3_1_A
10900,2qck_1_B
307,4dex_1_B
10999,1d3y_1_A
10677,3c1z_1_A
3304,1qb2_1_A
8643,4mjd_1_A
4640,1hw7_1_B
12452,5ocq_1_A
3099,1v0a_1_A
8240,3ig2_1_C
4153,1etp_1_A
7598,2ofk_1_A
11970,2i13_1_A
5723,2zwr_1_A
4974,3zqe_1_A
4010,3hpe_1_B
11964,2cv9_1_A
9486,2zv3_1_A
12190,1wkb_1_A
1281,3mwb_1_A
1466,3o0g_1_B
7445,5kop_1_A
13792,5f5l_1_A
14250,2qjc_1_A
9189,4oki_1_B
1166,1l6j_1_A
5719,2e1f_1_A
4000,2ozn_1_B
1137,5xb0_1_A
4280,4m7s_1_A
7743,4rnh_1_B
9832,2ocv_1_B
1635,1b5d_1_A
4530,2gj8_1_A
3307,2blf_1_B
10748,2owo_1_A
5905,4nj4_1_A
11856,3rdr_1_A
13148,3c6f_1_D
11739,4bpm_1_A
11332,4zya_1_A
8684,2glz_1_B
2103,2ush_1_A
13865,5us8_1_A
718,1jb0_1_B
8463,3dwb_1_A
10495,2jjz_1_A
10382,4x1x_1_B
174,2w4e_1_B
2099,3jy6_1_B
7700,5a53_1_C
14156,2gn5_1_A
6290,4uzj_1_A
13828,4u7o_1_B
7933,5k1r_1_A
13564,3cmg_1_A
7953,2b0v_1_A
1862,1shu_1_A
14171,4xom_1_A
11881,3l0b_1_A
1839,3k3c_1_A
8273,3r5g_1_B
9621,3t0y_1_A
5739,2hku_1_B
12078,5bmq_1_A
11190,5nlt_1_A
3827,2yzy_1_A
6951,5i97_1_B
5389,2ewt_1_B
13178,2q02_1_A
13651,1z4e_1_B
11971,3mqo_1_B
1456,3cc2_1_b
422,3r0a_1_A
12982,3hk4_1_B
2870,1n1i_1_A
2755,3t38_1_B
13182,6es9_1_B
6582,2v7b_1_A
6301,3qwn_1_A
11002,4hly_1_A
6646,1ru4_1_A
7182,4n4n_1_A
4730,4a27_1_B
6658,4eo3_1_B
5357,2qpx_1_A
7254,4rzl_1_A
6132,3d1c_1_B
14775,5u02_1_A
4498,4rkz_1_A
4327,1kae_1_A
915,3mmr_1_A
9183,3r5a_1_A
13826,1no3_1_A
4170,3dxs_1_A
9729,2ce8_1_A
5362,1gd7_1_B
3349,2xga_1_A
9439,5vym_1_A
983,3oj0_1_A
3625,3g40_1_B
10436,4mbq_1_B
15006,3wbh_1_B
7344,2rff_1_A
14095,4o7o_1_B
13653,2cmg_1_A
3807,2j3w_1_C
1018,3shp_1_B
2899,3ep1_1_B
9095,2fbh_1_B
8248,2o1c_1_A
12149,5hsg_1_A
11777,3zl8_1_A
13532,1tuk_1_A
9883,5wiw_1_A
10779,3u8v_1_A
3127,1dd4_1_D
2657,3hx9_1_A
10691,2j7j_1_B
4692,4nec_1_A
3618,5epe_1_A
8888,3g5l_1_B
2537,5ja4_1_H
11728,4pzj_1_B
14556,4ps2_1_A
7356,1u7k_1_A
8757,2qbu_1_B
1107,1roa_1_A
9758,5iuy_1_C
1660,2o2y_1_C
8946,1u07_1_A
11797,3ecf_1_B
12254,5fie_1_A
3363,1wrj_1_A
6147,2qtt_1_A
8796,3pms_1_A
10132,4zgp_1_A
3940,5hab_1_B
